"from","to","target","source"
"Amitabh Bachchan","Shawar Ali",35,1
"Amitabh Bachchan","Rajeev Verma",160,1
"Hema Malini","Raveena Tandon",28,27
"Hema Malini","Sonu Sood",29,27
"Hema Malini","Sonal Chauhan",30,27
"Hema Malini","Charmy Kaur",31,27
"Hema Malini","Prakash Raj",32,27
"Hema Malini","Makrand Deshpande",33,27
"Hema Malini","Subbaraju",34,27
"Hema Malini","Shawar Ali",35,27
"Hema Malini","Rajeev Verma",160,27
"Raveena Tandon","Sonu Sood",29,28
"Raveena Tandon","Sonal Chauhan",30,28
"Raveena Tandon","Charmy Kaur",31,28
"Raveena Tandon","Prakash Raj",32,28
"Raveena Tandon","Makrand Deshpande",33,28
"Raveena Tandon","Subbaraju",34,28
"Raveena Tandon","Shawar Ali",35,28
"Raveena Tandon","Rajeev Verma",160,28
"Sonu Sood","Sonal Chauhan",30,29
"Sonu Sood","Charmy Kaur",31,29
"Sonu Sood","Prakash Raj",32,29
"Sonu Sood","Makrand Deshpande",33,29
"Sonu Sood","Subbaraju",34,29
"Sonu Sood","Shawar Ali",35,29
"Sonu Sood","Rajeev Verma",160,29
"Sonal Chauhan","Charmy Kaur",31,30
"Sonal Chauhan","Prakash Raj",32,30
"Sonal Chauhan","Makrand Deshpande",33,30
"Sonal Chauhan","Subbaraju",34,30
"Sonal Chauhan","Shawar Ali",35,30
"Sonal Chauhan","Rajeev Verma",160,30
"Charmy Kaur","Prakash Raj",32,31
"Charmy Kaur","Makrand Deshpande",33,31
"Charmy Kaur","Subbaraju",34,31
"Charmy Kaur","Shawar Ali",35,31
"Charmy Kaur","Rajeev Verma",160,31
"Prakash Raj","Makrand Deshpande",33,32
"Prakash Raj","Subbaraju",34,32
"Prakash Raj","Shawar Ali",35,32
"Prakash Raj","Rajeev Verma",160,32
"Makrand Deshpande","Subbaraju",34,33
"Makrand Deshpande","Shawar Ali",35,33
"Makrand Deshpande","Rajeev Verma",160,33
"Subbaraju","Shawar Ali",35,34
"Subbaraju","Rajeev Verma",160,34
"Shawar Ali","Rajeev Verma",160,35
"Rani Mukerji","Randeep Hooda",37,36
"Rani Mukerji","Saqib Saleem",38,36
"Rani Mukerji","Nawazuddin Siddiqui",39,36
"Rani Mukerji","Sadashiv Amrapurkar",40,36
"Rani Mukerji","Amitabh Bachchan",1,36
"Rani Mukerji","Ranvir Shorey",41,36
"Rani Mukerji","Katrina Kaif",42,36
"Rani Mukerji","Diana Penty",161,36
"Randeep Hooda","Saqib Saleem",38,37
"Randeep Hooda","Nawazuddin Siddiqui",39,37
"Randeep Hooda","Sadashiv Amrapurkar",40,37
"Randeep Hooda","Amitabh Bachchan",1,37
"Randeep Hooda","Ranvir Shorey",41,37
"Randeep Hooda","Katrina Kaif",42,37
"Randeep Hooda","Diana Penty",161,37
"Saqib Saleem","Nawazuddin Siddiqui",39,38
"Saqib Saleem","Sadashiv Amrapurkar",40,38
"Saqib Saleem","Amitabh Bachchan",1,38
"Saqib Saleem","Ranvir Shorey",41,38
"Saqib Saleem","Katrina Kaif",42,38
"Saqib Saleem","Diana Penty",161,38
"Nawazuddin Siddiqui","Sadashiv Amrapurkar",40,39
"Nawazuddin Siddiqui","Amitabh Bachchan",1,39
"Nawazuddin Siddiqui","Ranvir Shorey",41,39
"Nawazuddin Siddiqui","Katrina Kaif",42,39
"Nawazuddin Siddiqui","Diana Penty",161,39
"Sadashiv Amrapurkar","Amitabh Bachchan",1,40
"Sadashiv Amrapurkar","Ranvir Shorey",41,40
"Sadashiv Amrapurkar","Katrina Kaif",42,40
"Sadashiv Amrapurkar","Diana Penty",161,40
"Amitabh Bachchan","Ranvir Shorey",41,1
"Amitabh Bachchan","Katrina Kaif",42,1
"Amitabh Bachchan","Diana Penty",161,1
"Ranvir Shorey","Katrina Kaif",42,41
"Ranvir Shorey","Diana Penty",161,41
"Katrina Kaif","Diana Penty",161,42
"Amitabh Bachchan","Gulshan Grover",43,1
"Amitabh Bachchan","Jackie Shroff",44,1
"Amitabh Bachchan","Javed Jaffrey",45,1
"Amitabh Bachchan","Katrina Kaif",42,1
"Amitabh Bachchan","Madhu Sapre",46,1
"Amitabh Bachchan","Padma Lakshmi",47,1
