"from","to","target","source"
"Malvika Tiwari","Anjan Srivastav",31,26
"Malvika Tiwari","Rakesh Bedi",192,26
"Shammi Kapoor","Deven Verma",28,27
"Shammi Kapoor","Tinnu Anand",29,27
"Shammi Kapoor","Anjana Mumtaz",30,27
"Shammi Kapoor","Anjan Srivastav",31,27
"Shammi Kapoor","Rakesh Bedi",192,27
"Deven Verma","Tinnu Anand",29,28
"Deven Verma","Anjana Mumtaz",30,28
"Deven Verma","Anjan Srivastav",31,28
"Deven Verma","Rakesh Bedi",192,28
"Tinnu Anand","Anjana Mumtaz",30,29
"Tinnu Anand","Anjan Srivastav",31,29
"Tinnu Anand","Rakesh Bedi",192,29
"Anjana Mumtaz","Anjan Srivastav",31,30
"Anjana Mumtaz","Rakesh Bedi",192,30
"Anjan Srivastav","Rakesh Bedi",192,31
"Shah Rukh Khan","Deepika Padukone",32,1
"Shah Rukh Khan","Nikitin Dheer",33,1
"Shah Rukh Khan","Satyaraj",34,1
"Shah Rukh Khan","Kamini Kaushal",35,1
"Shah Rukh Khan","Lekh Tandon",36,1
"Shah Rukh Khan","Mukesh Tiwari",63,1
"Deepika Padukone","Nikitin Dheer",33,32
"Deepika Padukone","Satyaraj",34,32
"Deepika Padukone","Kamini Kaushal",35,32
"Deepika Padukone","Lekh Tandon",36,32
"Deepika Padukone","Mukesh Tiwari",63,32
"Nikitin Dheer","Satyaraj",34,33
"Nikitin Dheer","Kamini Kaushal",35,33
"Nikitin Dheer","Lekh Tandon",36,33
"Nikitin Dheer","Mukesh Tiwari",63,33
"Satyaraj","Kamini Kaushal",35,34
"Satyaraj","Lekh Tandon",36,34
"Satyaraj","Mukesh Tiwari",63,34
"Kamini Kaushal","Lekh Tandon",36,35
"Kamini Kaushal","Mukesh Tiwari",63,35
"Lekh Tandon","Mukesh Tiwari",63,36
"Alia Bhatt","Shah Rukh Khan",1,37
"Alia Bhatt","Ira Dubey",38,37
"Alia Bhatt","Yashaswini Dayama",39,37
"Alia Bhatt","Gautmik",40,37
"Alia Bhatt","Raj Bhansali",41,37
"Alia Bhatt","Rohit Saraf",42,37
"Alia Bhatt","Atul Kale",43,37
"Alia Bhatt","Kunal Kapoor",44,37
"Alia Bhatt","Angad Bedi",45,37
"Alia Bhatt","Ali Zafar",46,37
"Alia Bhatt","Aditya Roy Kapoor",193,37
"Shah Rukh Khan","Ira Dubey",38,1
"Shah Rukh Khan","Yashaswini Dayama",39,1
"Shah Rukh Khan","Gautmik",40,1
"Shah Rukh Khan","Raj Bhansali",41,1
"Shah Rukh Khan","Rohit Saraf",42,1
"Shah Rukh Khan","Atul Kale",43,1
"Shah Rukh Khan","Kunal Kapoor",44,1
"Shah Rukh Khan","Angad Bedi",45,1
"Shah Rukh Khan","Ali Zafar",46,1
"Shah Rukh Khan","Aditya Roy Kapoor",193,1
"Ira Dubey","Yashaswini Dayama",39,38
"Ira Dubey","Gautmik",40,38
"Ira Dubey","Raj Bhansali",41,38
"Ira Dubey","Rohit Saraf",42,38
"Ira Dubey","Atul Kale",43,38
